AccountNumber,AcctName,TotalAdoptionPercent,LicensedAdoptionPercent,AdoptionCategoryIndicator,LicensingCategoryIndicator
ACCT0000306,Alliant Insurance Services Inc,22.222,42.857,2,2
ACCT0000307,Group Health Cooperative,55.555,166.666,5,1
ACCT0000312,Larimer County,40.74,73.333,4,2
ACCT0000318,Vocus Inc,33.333,100,3,1
ACCT0000345,Legal & General Resources Ltd,40.74,100,4,2
ACCT0000360,Virgin Atlantic Airways Ltd,55.555,166.666,5,1
ACCT0000371,"Alere, Inc.",55.555,100,5,2
ACCT0000377,State Compensation Insurance Fund,55.555,100,5,2
ACCT0000380,Companies House,44.444,171.428,4,1
ACCT0000381,Predictive Technologies Inc,22.222,66.666,2,1
ACCT0000384,Forest City Enterprises Inc.,59.259,94.117,5,3
ACCT0000387,Brazos County,37.037,71.428,4,2
ACCT0000388,"Giant Eagle, Inc.",33.333,128.571,3,1
ACCT0000390,PPL Corporation,51.851,87.5,5,3
ACCT0000391,Hershey Company,33.333,100,3,1
ACCT0000410,ARAMARK Corporation,55.555,93.75,5,3
ACCT0000423,Shaw Industries Inc,62.962,<Null>,5,4
ACCT0000431,"NuVasive, Inc.",51.851,87.5,5,3
ACCT0000484,University of British Columbia,40.74,78.571,4,2
ACCT0000486,Active Network LLC,37.037,66.666,4,2
ACCT0000487,LPL Financial Corp,18.518,55.555,2,1
ACCT0000503,"Ameren Services Company, Inc",51.851,93.333,5,2
ACCT0000504,Liberty University Inc,59.259,106.666,5,2
ACCT0000525,Unum Group,70.37,126.666,5,2
ACCT0000538,Stanford University,22.222,46.153,2,2
ACCT0000544,BDO (formerly PKF),33.333,60,3,2
ACCT0000545,RealFoundations Inc,25.925,77.777,2,1
ACCT0000552,Major League Baseball,33.333,56.25,3,3
ACCT0000556,"Court Square Group, Inc.",25.925,46.666,2,2
ACCT0000570,"Advent Software, Inc.",37.037,100,4,1
ACCT0000572,Informatica LLC,11.111,21.428,1,2
ACCT0000582,Betfair,44.444,75,4,3
ACCT0000588,StepChange Debt Charity (former Consumer Credit Counselling Service),33.333,<Null>,3,4
ACCT0000596,Burlington Coat Factory,37.037,66.666,4,2
ACCT0000606,"Juniper Networks, Inc.",37.037,71.428,4,2
ACCT0000607,"Plantronics, Inc.",37.037,111.111,4,1
ACCT0000621,"Illumina, Inc.",33.333,69.23,3,2
ACCT0000626,University Of Alabama At Birmingham,37.037,52.631,4,3
ACCT0000634,Medical Council Of Canada,18.518,71.428,2,1
ACCT0000636,Skills Development Scotland,37.037,142.857,4,1
ACCT0000637,EMC Corporation - Managed Services,37.037,62.5,4,3
ACCT0000638,Gannett Co Inc,55.555,100,5,2
ACCT0000639,Siemens AG,40.74,366.666,4,1
ACCT0000640,Verizon Wireline,<Null>,<Null>,4,2
ACCT0000647,Cisco CMS,29.629,114.285,3,1
ACCT0000659,RealNetworks Inc,37.037,66.666,4,2
ACCT0000669,CIT Group Inc.,51.851,93.333,5,2
ACCT0000670,HRB Tax Group Inc,37.037,66.666,4,2
ACCT0000671,"Hallmark Cards, Inc.",55.555,93.75,5,3
ACCT0000675,Springleaf Financial Inc,37.037,100,4,1
ACCT0000686,University of Minnesota,44.444,80,4,2
ACCT0000696,Gemological Institute of America Inc,33.333,56.25,3,3
ACCT0000698,Integris Health Inc,48.148,76.47,5,3
ACCT0000699,County of Sacramento,37.037,142.857,4,1
ACCT0000702,Carlson Companies,44.444,75,4,3
ACCT0000706,UCare Minnesota,44.444,100,4,2
ACCT0000708,Wisconsin Physicians Service Insurance Corporation,25.925,43.75,2,3
ACCT0000721,"Paychex, Inc.",51.851,93.333,5,2
ACCT0000729,"ResMed, Inc.",40.74,78.571,4,2
ACCT0000738,Procter & Gamble Company,51.851,87.5,5,3
ACCT0000741,"Hologic, Inc.",48.148,76.47,5,3
ACCT0000749,Florida Virtual School,51.851,100,5,2
ACCT0000753,City And County Of San Francisco Human Service Agency,37.037,66.666,4,2
ACCT0000761,OhioHealth Corporation,59.259,106.666,5,2
ACCT0000767,Autodesk - EIS,51.851,<Null>,5,4
ACCT0000776,BlueCross BlueShield Of Minnesota,66.666,105.882,5,3
ACCT0000778,International Monetary Fund,44.444,85.714,4,2
ACCT0000781,Motorola Solutions Inc,48.148,86.666,5,2
ACCT0000782,Robert Half International Inc,40.74,73.333,4,2
ACCT0000785,StrataCare LLC,7.407,14.285,1,2
ACCT0000787,Hofstra University,33.333,128.571,3,1
ACCT0000788,Telos Corp,37.037,142.857,4,1
ACCT0000817,Sephora USA Inc,44.444,<Null>,4,4
ACCT0000831,North Memorial Health Care,40.74,<Null>,4,4
ACCT0000853,Clean Harbors Inc,37.037,62.5,4,3
ACCT0000854,"Starwood Hotels & Resorts Worldwide, Inc.",77.777,131.25,5,3
ACCT0000862,University of San Francisco,51.851,93.333,5,2
ACCT0000863,PMC-Sierra Ltd,33.333,60,3,2
ACCT0000866,Jackson Laboratory,33.333,60,3,2
ACCT0000873,Ancestry.com,74.074,"1,000",5,1
ACCT0000880,Bitbrains iT Services BV,25.925,<Null>,2,4
ACCT0000893,Insurance Company of the West,33.333,60,3,2
ACCT0000894,Blackhawk Network,48.148,162.5,5,1
ACCT0000906,Steelcase Inc,44.444,80,4,2
ACCT0000917,Ernst & Young LLP,62.962,566.666,5,1
ACCT0000918,Sisters Of Mercy Health System,22.222,60,2,1
ACCT0000923,Papuan Oil Search Ltd,37.037,62.5,4,3
ACCT0000924,Commonwealth Bank of Australia,25.925,50,2,2
ACCT0000934,Marsh & McLennan Companies Inc,18.518,33.333,2,2
ACCT0000945,Viacom Inc,59.259,106.666,5,2
ACCT0000962,HealthPartners Inc,59.259,106.666,5,2
ACCT0000963,"ISG Information Services Group Americas, Inc., including Affiliates",33.333,60,3,2
ACCT0000965,Zamil Industrial Investment Co (ZIIC),59.259,106.666,5,2
ACCT0000970,United Nations Population Fund,14.814,<Null>,2,4
ACCT0000973,BJ's Wholesale Club Inc,33.333,112.5,3,1
ACCT0000975,University of South Carolina,40.74,73.333,4,2
ACCT0000982,Manulife Financial,55.555,107.142,5,2
ACCT0000987,Federal Home Loan Bank of Des Moines,18.518,36,2,2
ACCT0000988,Stryker Corporation,70.37,105.555,5,3
ACCT0000989,"TJX Companies, Inc.",55.555,100,5,2
ACCT0000993,Ultradent,40.74,<Null>,4,4
ACCT0000994,Wyndham Worldwide Corporation,37.037,100,4,1
ACCT0000998,TD Bank Financial Group,48.148,144.444,5,1
ACCT0001000,XL Group,55.555,107.142,5,2
ACCT0001003,SITA SC Switzerland,<Null>,<Null>,4,1
ACCT0001004,Thermo Fisher Scientific Inc,62.962,106,5,3
ACCT0001005,Viavi Solutions Inc.,51.851,93.333,5,2
ACCT0001006,Kronos Inc,44.444,80,4,2
ACCT0001012,Discovery Communications LLC,55.555,93.75,5,3
ACCT0001022,Hasbro Inc,44.444,70.588,4,3
ACCT0001033,Vertex Pharmaceuticals Incorporated,11.111,20,1,2
ACCT0001034,Sonora Quest Labs LLC,22.222,42.857,2,2
ACCT0001039,Ecolab Inc.,59.259,94.117,5,3
ACCT0001047,Eli Lilly & Co,44.444,75,4,3
ACCT0001050,CBS Corp,40.74,73.333,4,2
ACCT0001057,NCB,37.037,66.666,4,2
ACCT0001060,AllianceBernstein Holding LP,29.629,<Null>,3,4
ACCT0001067,NBA Properties Inc.,22.222,40,2,2
ACCT0001074,"CH Robinson Worldwide, Inc.",62.962,100,5,3
ACCT0001079,CentraCare Health Systems,40.74,73.333,4,2
ACCT0001080,"UniGroup, Inc.",44.444,80,4,2
ACCT0001086,Ball Corporation,40.74,78.571,4,2
ACCT0001092,Solutionary Inc,18.518,55.555,2,1
ACCT0001107,West Liberty Foods LLC,37.037,83.333,4,2
ACCT0001144,Altru Health System,44.444,133.333,4,1
ACCT0001149,Washington Corporations,33.333,69.23,3,2
ACCT0001152,Helmerich & Payne Inc,59.259,100,5,3
ACCT0001153,"Williams Companies, Inc.",70.37,111.764,5,3
ACCT0001154,Salt River Project,77.777,123.529,5,3
ACCT0001159,"ONEOK, Inc.",51.851,87.5,5,3
ACCT0001162,Murphy Oil Corporation,33.333,90,3,1
ACCT0001179,Casey's General Stores Inc,22.222,66.666,2,1
ACCT0001182,Acxiom Corporation,48.148,185.714,5,1
ACCT0001215,Kiewit Corporation,55.555,88.235,5,3
ACCT0001222,UnityPoint Health,40.74,73.333,4,2
ACCT0001223,PetSmart Inc,37.037,66.666,4,2
ACCT0001228,Amkor Technology Inc,29.629,114.285,3,1
ACCT0001230,Intermountain Healthcare Inc,48.148,108.333,5,2
ACCT0001241,TeleTech Holdings Inc.,70.37,<Null>,5,4
ACCT0001244,"Dillard's, Inc.",40.74,78.571,4,2
ACCT0001250,Starz Entertainment LLC,44.444,75,4,3
ACCT0001257,A.M. Castle & Co.,25.925,50,2,2
ACCT0001277,"Associated Wholesale Grocers, Inc.",44.444,"1,200",4,1
ACCT0001285,BDO USA LLP,55.555,93.75,5,3
ACCT0001290,Brunswick Corporation,74.074,125,5,3
ACCT0001291,Career Education Corp.,51.851,<Null>,5,4
ACCT0001298,City of Chicago,18.518,71.428,2,1
ACCT0001300,Ingredion Incorporated,29.629,57.142,3,2
ACCT0001329,GGP Limited Partnership,44.444,85.714,4,2
ACCT0001336,Hospira Inc,37.037,66.666,4,2
ACCT0001348,Kansas City Southern,55.555,88.235,5,3
ACCT0001353,Maritz Inc.,48.148,81.25,5,3
ACCT0001365,The Northern Trust Company,40.74,73.333,4,2
ACCT0001379,RR Donnelley - USA,33.333,64.285,3,2
ACCT0001381,RGA Reinsurance Company,33.333,56.25,3,3
ACCT0001391,Sears Holdings Corporation,59.259,94.117,5,3
ACCT0001417,University of Chicago - School,29.629,57.142,3,2
ACCT0001421,"W.W. Grainger, Inc.",44.444,85.714,4,2
ACCT0001424,"Westar Energy, Inc.",25.925,50,2,2
ACCT0001425,Wheaton Franciscan Services Inc.,37.037,66.666,4,2
ACCT0001432,Alliant Energy Corporate Services Inc,40.74,122.222,4,1
ACCT0001433,"Alliant Techsystems, Inc.",44.444,80,4,2
ACCT0001436,American Axle & Manufacturing Inc,11.111,33.333,1,1
ACCT0001439,American Family Insurance Co,11.111,33.333,1,1
ACCT0001440,"Ameriprise Financial, Inc.",51.851,82.352,5,3
ACCT0001452,Brady Worldwide Inc,33.333,128.571,3,1
ACCT0001453,Briggs & Stratton Corporation,62.962,121.428,5,2
ACCT0001456,Ceridian Corp,48.148,144.444,5,1
ACCT0001467,Delphi Corporation,74.074,117.647,5,3
ACCT0001471,Domino's Pizza Inc,55.555,93.75,5,3
ACCT0001472,Donaldson Company Inc,44.444,75,4,3
ACCT0001476,Fairview Health Services,55.555,78.947,5,3
ACCT0001494,Henry Ford Health System,62.962,94.444,5,3
ACCT0001495,Herman Miller Inc.,59.259,106.666,5,2
ACCT0001506,Kohl's Corporation,51.851,82.352,5,3
ACCT0001507,"Land O'Lakes, Inc.",51.851,87.5,5,3
ACCT0001509,M.A. Mortenson Company,44.444,75,4,3
ACCT0001511,Manitowoc Company Inc (Grove),22.222,42.857,2,2
ACCT0001513,Masco Corporation,33.333,56.25,3,3
ACCT0001514,"Medtronic, Inc.",48.148,72.222,5,3
ACCT0001522,"MoneyGram Payment Systems, Inc.",40.74,68.75,4,3
ACCT0001528,Oshkosh Corporation,55.555,166.666,5,1
ACCT0001531,"Patterson Companies, Inc.",40.74,157.142,4,1
ACCT0001533,"Pentair, Inc.",40.74,68.75,4,3
ACCT0001534,Perrigo Company PLC,37.037,66.666,4,2
ACCT0001539,Plexus Corp.,66.666,128.571,5,2
ACCT0001540,"Polaris Industries, Inc.",66.666,120,5,2
ACCT0001567,Trinity Health Corporation,37.037,111.111,4,1
ACCT0001573,University of Michigan,55.555,100,5,2
ACCT0001577,Wausau Paper Corp,37.037,71.428,4,2
ACCT0001584,CoBank ACB,29.629,53.333,3,2
ACCT0001596,City & County of Denver,55.555,100,5,2
ACCT0001603,Agrium Inc,51.851,87.5,5,3
ACCT0001615,British Columbia Lottery Corp,55.555,93.75,5,3
ACCT0001623,Tervita Corporation (formerly CCS Corporation),44.444,70.588,4,3
ACCT0001624,CHC Helicopter Corporation,37.037,100,4,1
ACCT0001630,Enbridge Inc.,66.666,128.571,5,2
ACCT0001631,EnCana Corp,29.629,88.888,3,1
ACCT0001632,Enerplus Resources Fund,59.259,100,5,3
ACCT0001633,Ensign Energy Services Inc.,33.333,64.285,3,2
ACCT0001635,"Expedia, Inc.",77.777,123.529,5,3
ACCT0001647,Husky Oil Operations Ltd,62.962,113.333,5,2
ACCT0001650,JELD-WEN Inc,37.037,<Null>,4,4
ACCT0001661,Nexen Inc.,40.74,73.333,4,2
ACCT0001662,"Nike, Inc.",62.962,106.25,5,3
ACCT0001671,PCL Construction Group Inc,37.037,66.666,4,2
ACCT0001675,"Plum Creek Timber Company, Inc.",40.74,73.333,4,2
ACCT0001678,Precision Drilling Corporation,33.333,56.25,3,3
ACCT0001681,Recreational Equipment Inc,59.259,106.666,5,2
ACCT0001692,Suncor Energy Inc,48.148,92.857,5,2
ACCT0001694,Symetra Financial Corp,40.74,137.5,4,1
ACCT0001700,TransAlta Corporation,62.962,188.888,5,1
ACCT0001704,University of Washington Regents,44.444,85.714,4,2
ACCT0001708,WestJet Airlines Ltd.,70.37,105.555,5,3
ACCT0001721,California Public Employees' Retirement System,33.333,112.5,3,1
ACCT0001722,Dignity Health,18.518,<Null>,2,4
ACCT0001731,"Gilead Sciences, Inc.",33.333,900,3,1
ACCT0001737,Lam Research Corp,25.925,70,2,1
ACCT0001738,Levi Strauss & Co.,59.259,100,5,3
ACCT0001754,"Ross Stores, Inc.",37.037,111.111,4,1
ACCT0001755,Safeway Inc,51.851,93.333,5,2
ACCT0001766,University Of California Berkeley,29.629,57.142,3,2
ACCT0001772,"Williams-Sonoma, Inc.",44.444,80,4,2
ACCT0001775,"Red Robin International, Inc.",37.037,66.666,4,2
ACCT0001779,St Mungos,25.925,50,2,2
ACCT0001789,"Barnes & Noble, Inc.",29.629,53.333,3,2
ACCT0001792,Brown Brothers Harriman & Co.,62.962,113.333,5,2
ACCT0001793,Compassion International Inc,62.962,113.333,5,2
ACCT0001835,Federal Home Loan Bank Office of Finance,37.037,66.666,4,2
ACCT0001839,Princeton University,18.518,55.555,2,1
ACCT0001840,Providence College,18.518,35.714,2,2
ACCT0001841,Yale University,37.037,66.666,4,2
ACCT0001845,Mercury Insurance Services LLC,48.148,"1,300",5,1
ACCT0001846,Veda Advantage Ltd,51.851,175,5,1
ACCT0001847,"Schuff International, Inc.",33.333,69.23,3,2
ACCT0001852,Brigham Young University,40.74,73.333,4,2
ACCT0001875,Lions Gate Entertainment Inc.,37.037,66.666,4,2
ACCT0001923,"Ventura Foods, LLC",40.74,78.571,4,2
ACCT0001931,"Coherent, Inc.",33.333,900,3,1
ACCT0001955,"Varian Medical Systems, Inc.",48.148,433.333,5,1
ACCT0001957,Hoag Memorial Hospital Presbyterian,48.148,81.25,5,3
ACCT0001966,Cubic Corporation (CTS- AUS),<Null>,<Null>,4,4
ACCT0001975,VCA Inc.,29.629,114.285,3,1
ACCT0001981,Zenith Education Group Inc,33.333,100,3,1
ACCT0002017,Scientific Games Corporation,55.555,107.142,5,2
ACCT0002020,"Orbitz Worldwide, Inc.",44.444,<Null>,4,4
ACCT0002025,"Navigant Consulting, Inc.",25.925,41.176,2,3
ACCT0002028,McDermott Will & Emery LLP,33.333,60,3,2
ACCT0002037,Zebra Technologies Corp,74.074,117.647,5,3
ACCT0002044,LKQ Corporation,44.444,80,4,2
ACCT0002049,University of Chicago Medical Center,37.037,62.5,4,3
ACCT0002052,Stericycle Inc,40.74,78.571,4,2
ACCT0002079,TTI Inc,70.37,<Null>,5,4
ACCT0002096,Corizon Health,37.037,142.857,4,1
ACCT0002102,Panera Bread Company,29.629,114.285,3,1
ACCT0002104,Ssm Health Care St Louis,55.555,83.333,5,3
ACCT0002141,Denbury Resources Inc,51.851,93.333,5,2
ACCT0002166,Crown Castle International Corp,37.037,111.111,4,1
ACCT0002183,Lower Colorado River Authority,51.851,93.333,5,2
ACCT0002189,Parker Drilling Management Services Ltd,18.518,50,2,1
ACCT0002192,Conn Appliances Inc,37.037,76.923,4,2
ACCT0002195,"Lufkin Industries, Inc.",33.333,60,3,2
ACCT0002209,"Bristow Group, Inc.",62.962,113.333,5,2
ACCT0002230,"Key Energy Services, Inc.",33.333,100,3,1
ACCT0002237,"Blackbaud, Inc.",48.148,86.666,5,2
ACCT0002241,Austin Energy,55.555,88.235,5,3
ACCT0002245,Baylor College Of Medicine,44.444,85.714,4,2
ACCT0002250,Contran Corp,11.111,23.076,1,2
ACCT0002261,"Cinemark, Inc.",18.518,62.5,2,1
ACCT0002283,Rowan Companies Inc,40.74,64.705,4,3
ACCT0002290,Pier 1 Services Company,29.629,80,3,1
ACCT0002291,Pioneer Natural Resources Co,59.259,88.888,5,3
ACCT0002313,Quanex Building Products Corporation,29.629,88.888,3,1
ACCT0002317,Noble Drilling Services Inc,11.111,42.857,1,1
ACCT0002328,Rush Enterprises Inc,25.925,53.846,2,2
ACCT0002329,Sally Holdings LLC,44.444,75,4,3
ACCT0002330,CHRISTUS Health,70.37,118.75,5,3
ACCT0002332,Rent-A-Center,40.74,78.571,4,2
ACCT0002340,Sabre Holdings Corporate,55.555,88.235,5,3
ACCT0002342,Noble Energy Inc,25.925,77.777,2,1
ACCT0002351,Cameron Intl Corp,37.037,66.666,4,2
ACCT0002354,Michaels Stores Inc,40.74,73.333,4,2
ACCT0002355,Transocean Inc.,33.333,100,3,1
ACCT0002357,McDermott International Inc,11.111,20,1,2
ACCT0002373,Atmos Energy Corporation,25.925,46.666,2,2
ACCT0002376,National Oilwell Varco,22.222,40,2,2
ACCT0002377,iHeartMedia Management Services Inc,44.444,75,4,3
ACCT0002381,Apache Corporation,51.851,93.333,5,2
ACCT0002384,Southwest Airlines Co.,70.37,118.75,5,3
ACCT0002385,CenterPoint Energy Inc,62.962,113.333,5,2
ACCT0002390,Anadarko Petroleum Corporation,44.444,75,4,3
ACCT0002404,Kimberly-Clark Corp,51.851,87.5,5,3
ACCT0002410,"American Airlines, Inc.",40.74,73.333,4,2
ACCT0002414,Marathon Oil Corporation,44.444,"1,200",4,1
ACCT0002431,Sunovion Pharmaceuticals Inc,29.629,53.333,3,2
ACCT0002437,Bain & Company Inc,33.333,60,3,2
ACCT0002453,W.R. Berkley Corporation,55.555,88.235,5,3
ACCT0002463,Cenveo Corp,11.111,21.428,1,2
ACCT0002468,"Watts Water Technologies, Inc.",37.037,66.666,4,2
ACCT0002469,PerkinElmer Inc,40.74,157.142,4,1
ACCT0002491,Massachusetts Institute of Technology,44.444,80,4,2
ACCT0002492,Terex Corporation,48.148,86.666,5,2
ACCT0002499,Praxair Inc,37.037,90.909,4,2
ACCT0002516,"AEGIS Insurance Services, Inc.",48.148,81.25,5,3
ACCT0002533,"American Capital, Ltd.",40.74,68.75,4,3
ACCT0002558,Morgan Lewis,<Null>,<Null>,4,4
ACCT0002564,Boston Medical Center Health Plan Inc,44.444,120,4,1
ACCT0002577,"CDM Smith, Inc.",44.444,75,4,3
ACCT0002581,Cape Cod Healthcare,51.851,116.666,5,2
ACCT0002583,Cardone Industries Inc,25.925,100,2,1
ACCT0002584,Carnegie Mellon University,44.444,85.714,4,2
ACCT0002592,Celgene Corporation,55.555,107.142,5,2
ACCT0002606,Ciena Corporation,51.851,87.5,5,3
ACCT0002629,Cooper Health Systems,11.111,42.857,1,1
ACCT0002646,"DundeeWealth, Inc.",18.518,35.714,2,2
ACCT0002649,Educational Testing Service,33.333,112.5,3,1
ACCT0002651,Endo Pharmaceuticals Inc,22.222,40,2,2
ACCT0002665,First Quality Enterprises Inc,11.111,20,1,2
ACCT0002678,The George Washington University / Columbian School,22.222,85.714,2,1
ACCT0002681,Gildan Activewear Inc.,37.037,66.666,4,2
ACCT0002683,Golder Associates Corporation,44.444,<Null>,4,4
ACCT0002693,Hajoca Corporation,25.925,100,2,1
ACCT0002695,Hanger Inc.,51.851,93.333,5,2
ACCT0002717,IDEXX Laboratories Inc.,37.037,71.428,4,2
ACCT0002750,Kinross Gold Corporation,37.037,66.666,4,2
ACCT0002766,Laurentian Bank of Canada,29.629,53.333,3,2
ACCT0002818,National Geographic Society,48.148,144.444,5,1
ACCT0002829,Northeastern University,44.444,80,4,2
ACCT0002843,Parametric Technology Corp,18.518,50,2,1
ACCT0002847,Penn State Milton S Hershey Medical Center,14.814,25,2,3
ACCT0002884,ShawCor Ltd,44.444,120,4,1
ACCT0002887,Shiloh Industries Inc,33.333,90,3,1
ACCT0002932,Thomas Jefferson University,33.333,64.285,3,2
ACCT0002940,UIL Holdings Corporation,44.444,66.666,4,3
ACCT0002957,University of Ottawa,59.259,106.666,5,2
ACCT0002993,Albemarle Corp,3.703,10,1,1
ACCT0003009,CarMax Inc,40.74,78.571,4,2
ACCT0003010,Carolinas HealthCare System,44.444,150,4,1
ACCT0003015,CommScope Inc,44.444,85.714,4,2
ACCT0003016,Community Health Systems Inc,37.037,111.111,4,1
ACCT0003020,Delek US Holdings Inc,48.148,144.444,5,1
ACCT0003022,Dollar General Corp,48.148,86.666,5,2
ACCT0003037,Genworth Financial Inc,44.444,109.09,4,2
ACCT0003049,Inova Health System,44.444,80,4,2
ACCT0003058,Lifepoint Corporate Services General Partnership,48.148,162.5,5,1
ACCT0003069,WestRock Co,48.148,650,5,1
ACCT0003093,Regal Entertainment Group,51.851,<Null>,5,4
ACCT0003100,SAS Institute Inc,51.851,87.5,5,3
ACCT0003102,Sentara Healthcare Inc,59.259,100,5,3
ACCT0003122,Tractor Supply Company,7.407,18.181,1,2
ACCT0003128,Wake Forest University Baptist Medical Center (WFUBMC),37.037,142.857,4,1
ACCT0003162,"Brookwood Baptist Health 2, LLC",29.629,50,3,3
ACCT0003193,Nationwide Children's Hospital,40.74,73.333,4,2
ACCT0003198,City Of Virginia Beach,11.111,27.272,1,2
ACCT0003222,Denny's Corporation,33.333,56.25,3,3
ACCT0003234,Emory University,48.148,92.857,5,2
ACCT0003236,"EnPro Industries, Inc.",40.74,<Null>,4,4
ACCT0003258,Franklin Electric Co Inc,37.037,142.857,4,1
ACCT0003291,ITT Educational Services Inc,37.037,100,4,1
ACCT0003315,LORD Corporation,40.74,157.142,4,1
ACCT0003339,Myers Industries Inc,7.407,20,1,1
ACCT0003342,The National Collegiate Athletic Association (NCAA),37.037,71.428,4,2
ACCT0003350,Nemours Foundation,33.333,60,3,2
ACCT0003353,Nordson Corporation,44.444,75,4,3
ACCT0003355,Northside Hospital Inc,29.629,57.142,3,2
ACCT0003377,Vidant Pitt County Memorial Hospital Inc,44.444,85.714,4,2
ACCT0003413,Serta-Simmons Bedding Company,37.037,125,4,1
ACCT0003438,"Tempur-Pedic International, Inc.",44.444,70.588,4,3
ACCT0003439,Texas Roadhouse Inc.,44.444,75,4,3
ACCT0003473,University Hospitals,33.333,128.571,3,1
ACCT0003498,Activision Publishing Inc,14.814,36.363,2,2
ACCT0003499,Adobe Systems Inc,40.74,122.222,4,1
ACCT0003500,"Advanced Micro Devices, Inc.",51.851,93.333,5,2
ACCT0003505,"Allergan, Inc.",44.444,80,4,2
ACCT0003509,"AMN Healthcare Services, Inc.",51.851,93.333,5,2
ACCT0003511,Applied Materials Inc,74.074,125,5,3
ACCT0003514,Atmel Corp,33.333,60,3,2
ACCT0003519,Boyd Gaming Corporation,48.148,144.444,5,1
ACCT0003522,CBRE Inc,66.666,120,5,2
ACCT0003523,Cedars-Sinai Medical Center,44.444,120,4,1
ACCT0003533,DaVita Inc.,77.777,123.529,5,3
ACCT0003536,E&J Gallo Winery,51.851,155.555,5,1
ACCT0003549,Google Inc.,25.925,<Null>,2,4
ACCT0003554,Hawaiian Electric Company Inc.,25.925,46.666,2,2
ACCT0003555,"Health Net, Inc.",51.851,100,5,2
ACCT0003563,Intuit Inc,48.148,"1,300",5,1
ACCT0003566,Jack in the Box,37.037,71.428,4,2
ACCT0003567,Jacobs Engineering Group Inc,37.037,125,4,1
ACCT0003571,KLA-Tencor Corporation,44.444,80,4,2
ACCT0003573,Las Vegas Sands Corp,51.851,87.5,5,3
ACCT0003580,"Mattel, Inc.",44.444,75,4,3
ACCT0003583,MemorialCare Health System,51.851,155.555,5,1
ACCT0003587,Molina Healthcare Inc,51.851,100,5,2
ACCT0003590,NetApp Inc.,51.851,93.333,5,2
ACCT0003594,OXY Inc.,48.148,76.47,5,3
