AccountNumber,AcctName,CustomerAgeCategoryIndicator,AcctPaymentStatusIndicator,RepChangesinLast12Months_SUM,NumberOfProductionInstances_SUM,OptyWonLast12Months_Percent_SUM
ACCT0000431,"NuVasive, Inc.",2,2,1,1,100
ACCT0000435,Watson Pharmaceuticals Inc,4,2,2,<Null>,0
ACCT0000436,Millennium Pharmaceuticals Inc,3,2,1,<Null>,0
ACCT0000446,Burnham Institute,4,2,1,<Null>,<Null>
ACCT0000465,ParenteBeard LLC,4,2,1,<Null>,50
ACCT0000481,Smart and Final Inc,4,2,1,<Null>,0
ACCT0000484,University of British Columbia,4,2,2,1,100
ACCT0000486,Active Network LLC,4,2,1,1,<Null>
ACCT0000487,LPL Financial Corp,1,2,1,1,100
ACCT0000489,KEMET Corporation,3,2,2,<Null>,100
ACCT0000503,"Ameren Services Company, Inc",2,2,4,1,63.63
ACCT0000504,Liberty University Inc,4,2,1,1,44.44
ACCT0000512,WellStar Health System Inc,1,2,1,1,100
ACCT0000525,Unum Group,2,2,2,1,70
ACCT0000538,Stanford University,1,2,2,1,80
ACCT0000544,BDO (formerly PKF),4,2,2,1,<Null>
ACCT0000545,RealFoundations Inc,1,2,3,1,100
ACCT0000552,Major League Baseball,3,2,3,1,85.71
ACCT0000556,"Court Square Group, Inc.",4,1,2,1,50
ACCT0000562,MedImmune LLC,4,2,1,1,100
ACCT0000564,Gen-Probe Inc,4,2,1,<Null>,0
ACCT0000570,"Advent Software, Inc.",2,2,3,1,0
ACCT0000572,Informatica LLC,1,2,1,1,50
ACCT0000581,Anchor Trust,4,2,2,<Null>,0
ACCT0000582,Betfair,3,2,1,1,50
ACCT0000588,StepChange Debt Charity (former Consumer Credit Counselling Service),4,2,2,1,50
ACCT0000596,Burlington Coat Factory,4,2,4,1,100
ACCT0000606,"Juniper Networks, Inc.",4,2,2,1,100
ACCT0000607,"Plantronics, Inc.",4,2,2,1,100
ACCT0000621,"Illumina, Inc.",2,2,1,1,85.71
ACCT0000626,University Of Alabama At Birmingham,2,2,1,1,80
ACCT0000634,Medical Council Of Canada,4,2,4,1,<Null>
ACCT0000636,Skills Development Scotland,2,2,1,1,50
ACCT0000637,EMC Corporation - Managed Services,3,2,2,1,66.66
ACCT0000638,Gannett Co Inc,4,2,2,1,50
ACCT0000639,Siemens AG,2,2,1,2,46.15
ACCT0000640,Verizon Wireline,2,2,1,2,50
ACCT0000647,Cisco CMS,4,2,2,1,25
ACCT0000659,RealNetworks Inc,4,2,2,1,100
ACCT0000669,CIT Group Inc.,2,2,1,1,33.33
ACCT0000670,HRB Tax Group Inc,4,2,2,1,40
ACCT0000671,"Hallmark Cards, Inc.",2,2,2,1,55.55
ACCT0000675,Springleaf Financial Inc,2,2,1,1,66.66
ACCT0000686,University of Minnesota,3,2,1,1,100
ACCT0000696,Gemological Institute of America Inc,4,2,1,1,<Null>
ACCT0000698,Integris Health Inc,3,2,3,1,50
ACCT0000699,County of Sacramento,2,2,3,1,100
ACCT0000702,Carlson Companies,4,2,1,1,75
ACCT0000706,UCare Minnesota,2,2,1,1,75
ACCT0000708,Wisconsin Physicians Service Insurance Corporation,3,2,1,1,68.75
ACCT0000713,Cancer Council New South Wales,4,2,1,<Null>,0
ACCT0000721,"Paychex, Inc.",3,2,1,1,75
ACCT0000729,"ResMed, Inc.",4,2,2,2,50
ACCT0000738,Procter & Gamble Company,3,2,1,2,63.15
ACCT0000741,"Hologic, Inc.",2,2,1,1,100
ACCT0000745,Glasshouse Technologies Ltd.,3,1,1,<Null>,0
ACCT0000749,Florida Virtual School,2,2,1,1,66.66
ACCT0000753,City And County Of San Francisco Human Service Agency,4,2,3,1,100
ACCT0000761,OhioHealth Corporation,4,2,2,1,62.5
ACCT0000767,Autodesk - EIS,4,2,4,1,66.66
ACCT0000776,BlueCross BlueShield Of Minnesota,4,2,2,1,75
ACCT0000778,International Monetary Fund,2,2,1,1,100
ACCT0000781,Motorola Solutions Inc,2,2,1,1,100
ACCT0000782,Robert Half International Inc,2,2,2,1,75
ACCT0000785,StrataCare LLC,4,2,1,1,100
ACCT0000787,Hofstra University,2,2,1,1,33.33
ACCT0000788,Telos Corp,2,2,2,1,0
ACCT0000817,Sephora USA Inc,4,2,2,1,100
ACCT0000831,North Memorial Health Care,4,2,3,1,100
ACCT0000833,FirstCare Health Plans (Sha),4,2,2,<Null>,100
ACCT0000838,San Antonio Community Hospital,4,2,2,<Null>,0
ACCT0000853,Clean Harbors Inc,4,2,1,1,100
ACCT0000854,"Starwood Hotels & Resorts Worldwide, Inc.",4,2,1,1,57.14
ACCT0000862,University of San Francisco,4,2,2,1,60
ACCT0000863,PMC-Sierra Ltd,4,2,2,1,<Null>
ACCT0000866,Jackson Laboratory,4,2,2,2,100
ACCT0000873,Ancestry.com,4,2,2,1,100
ACCT0000880,Bitbrains iT Services BV,4,2,2,1,100
ACCT0000893,Insurance Company of the West,4,2,1,2,100
ACCT0000894,Blackhawk Network,4,2,2,1,100
ACCT0000898,Solutia Inc,4,2,3,<Null>,0
ACCT0000906,Steelcase Inc,4,2,1,1,100
ACCT0000912,AIG Global Services Inc,4,2,1,<Null>,40
ACCT0000917,Ernst & Young LLP,<Null>,2,1,1,50
ACCT0000918,Sisters Of Mercy Health System,1,2,1,1,60
ACCT0000919,Ferrellgas Partners LP,4,2,3,<Null>,100
ACCT0000923,Papuan Oil Search Ltd,4,2,2,1,60
ACCT0000924,Commonwealth Bank of Australia,3,2,3,1,22.22
ACCT0000934,Marsh & McLennan Companies Inc,3,2,1,1,66.66
ACCT0000945,Viacom Inc,3,2,1,3,100
ACCT0000951,Dynea Oy,4,2,1,<Null>,0
ACCT0000962,HealthPartners Inc,4,2,2,1,<Null>
ACCT0000963,"ISG Information Services Group Americas, Inc., including Affiliates",4,2,2,1,0
ACCT0000965,Zamil Industrial Investment Co (ZIIC),4,2,1,1,50
ACCT0000970,United Nations Population Fund,<Null>,2,3,1,100
ACCT0000973,BJ's Wholesale Club Inc,2,2,3,1,100
ACCT0000975,University of South Carolina,3,2,1,1,100
ACCT0000982,Manulife Financial,2,2,1,1,83.33
ACCT0000987,Federal Home Loan Bank of Des Moines,4,2,3,1,<Null>
ACCT0000988,Stryker Corporation,4,2,2,1,75
ACCT0000989,"TJX Companies, Inc.",3,2,2,1,72.22
ACCT0000993,Ultradent,3,2,2,1,100
ACCT0000994,Wyndham Worldwide Corporation,2,2,1,1,75
ACCT0000998,TD Bank Financial Group,2,2,1,3,85.71
ACCT0001000,XL Group,2,2,1,1,100
ACCT0001003,SITA SC Switzerland,2,2,1,1,40
ACCT0001004,Thermo Fisher Scientific Inc,2,2,1,1,100
ACCT0001005,Viavi Solutions Inc.,4,2,4,1,<Null>
ACCT0001006,Kronos Inc,3,2,2,1,100
ACCT0001012,Discovery Communications LLC,3,2,2,1,66.66
ACCT0001022,Hasbro Inc,3,2,1,1,100
ACCT0001032,Artio Global Investors Inc (formerly Julius Baer Americas Inc),4,2,2,<Null>,<Null>
ACCT0001033,Vertex Pharmaceuticals Incorporated,3,2,3,1,50
ACCT0001034,Sonora Quest Labs LLC,4,2,2,1,<Null>
ACCT0001035,"Orrick, Herrington & Sutcliffe LLP",4,2,2,1,0
ACCT0001038,"Best Buy Co., Inc",4,2,2,<Null>,42.85
ACCT0001039,Ecolab Inc.,3,2,3,1,46.66
ACCT0001047,Eli Lilly & Co,3,2,1,1,57.14
ACCT0001050,CBS Corp,4,2,3,1,100
ACCT0001057,NCB,4,2,2,1,25
ACCT0001059,Cymer LLC.,1,2,3,1,100
ACCT0001060,AllianceBernstein Holding LP,4,2,3,1,50
ACCT0001063,ING Direct,4,2,2,<Null>,0
ACCT0001066,General Electric Company,4,2,1,<Null>,73.33
ACCT0001067,NBA Properties Inc.,4,2,3,1,50
ACCT0001072,Neustar Information Services (TargusInfo),4,2,4,<Null>,<Null>
ACCT0001074,"CH Robinson Worldwide, Inc.",4,2,2,1,100
ACCT0001079,CentraCare Health Systems,4,2,1,1,100
ACCT0001080,"UniGroup, Inc.",3,2,4,1,100
ACCT0001086,Ball Corporation,2,2,3,1,100
ACCT0001092,Solutionary Inc,2,2,4,1,100
ACCT0001107,West Liberty Foods LLC,2,2,4,1,50
ACCT0001125,UNS Energy Corporation (Tucson Electric Power),3,2,2,1,75
ACCT0001144,Altru Health System,3,2,3,1,66.66
ACCT0001149,Washington Corporations,1,2,1,1,50
ACCT0001152,Helmerich & Payne Inc,3,2,3,1,60
ACCT0001153,"Williams Companies, Inc.",4,2,3,1,<Null>
ACCT0001154,Salt River Project,3,2,2,1,33.33
ACCT0001159,"ONEOK, Inc.",4,2,3,1,50
ACCT0001162,Murphy Oil Corporation,2,2,4,1,100
ACCT0001171,AIMCO (Apartment Investment and Management Co.),4,2,2,<Null>,<Null>
ACCT0001179,Casey's General Stores Inc,1,2,3,1,100
ACCT0001182,Acxiom Corporation,2,2,2,1,33.33
ACCT0001184,Arizona Public Service,4,2,2,1,0
ACCT0001215,Kiewit Corporation,2,2,3,1,75
ACCT0001222,UnityPoint Health,2,2,3,1,42.85
ACCT0001223,PetSmart Inc,4,2,1,3,75
ACCT0001228,Amkor Technology Inc,1,2,1,1,37.5
ACCT0001230,Intermountain Healthcare Inc,2,2,1,1,100
ACCT0001241,TeleTech Holdings Inc.,3,2,3,1,57.14
ACCT0001244,"Dillard's, Inc.",2,2,2,1,33.33
ACCT0001250,Starz Entertainment LLC,3,2,3,1,60
ACCT0001257,A.M. Castle & Co.,4,2,3,1,<Null>
ACCT0001277,"Associated Wholesale Grocers, Inc.",4,2,2,1,50
ACCT0001285,BDO USA LLP,3,2,1,1,100
ACCT0001290,Brunswick Corporation,3,2,2,1,100
ACCT0001291,Career Education Corp.,4,2,1,1,100
ACCT0001298,City of Chicago,2,2,3,1,<Null>
ACCT0001300,Ingredion Incorporated,3,2,4,1,100
ACCT0001329,GGP Limited Partnership,2,2,1,1,50
ACCT0001336,Hospira Inc,2,2,2,1,50
ACCT0001348,Kansas City Southern,3,2,1,1,80
ACCT0001353,Maritz Inc.,<Null>,2,3,1,71.42
ACCT0001365,The Northern Trust Company,4,2,1,1,44.44
ACCT0001379,RR Donnelley - USA,3,2,1,1,55.55
ACCT0001381,RGA Reinsurance Company,3,2,4,1,100
ACCT0001391,Sears Holdings Corporation,2,2,1,1,100
ACCT0001417,University of Chicago - School,4,2,1,1,0
ACCT0001421,"W.W. Grainger, Inc.",3,2,2,1,77.27
ACCT0001424,"Westar Energy, Inc.",2,2,3,1,100
ACCT0001425,Wheaton Franciscan Services Inc.,3,2,2,1,40
ACCT0001432,Alliant Energy Corporate Services Inc,1,2,1,1,100
ACCT0001433,"Alliant Techsystems, Inc.",3,2,3,1,75
ACCT0001436,American Axle & Manufacturing Inc,1,2,3,1,33.33
ACCT0001439,American Family Insurance Co,2,2,1,1,71.42
ACCT0001440,"Ameriprise Financial, Inc.",3,2,2,1,50
ACCT0001448,Bemis Company Inc,1,2,1,1,100
ACCT0001452,Brady Worldwide Inc,2,2,2,1,100
ACCT0001453,Briggs & Stratton Corporation,2,2,2,1,<Null>
ACCT0001456,Ceridian Corp,2,2,1,1,100
ACCT0001467,Delphi Corporation,4,2,2,1,75
ACCT0001469,Deluxe Corp,1,2,3,1,66.66
ACCT0001471,Domino's Pizza Inc,2,2,3,1,100
ACCT0001472,Donaldson Company Inc,3,2,1,1,100
ACCT0001475,DURA Automotive Systems LLC,1,2,1,1,100
ACCT0001476,Fairview Health Services,4,2,1,2,71.42
ACCT0001483,Foremost Farms USA Cooperative,1,2,1,1,100
ACCT0001494,Henry Ford Health System,4,2,3,1,60
ACCT0001495,Herman Miller Inc.,3,2,1,1,83.33
ACCT0001506,Kohl's Corporation,3,2,1,1,57.14
ACCT0001507,"Land O'Lakes, Inc.",3,2,2,1,100
ACCT0001509,M.A. Mortenson Company,3,2,1,1,75
ACCT0001511,Manitowoc Company Inc (Grove),4,2,1,1,0
ACCT0001513,Masco Corporation,3,2,1,1,50
ACCT0001514,"Medtronic, Inc.",2,2,1,3,78.57
ACCT0001522,"MoneyGram Payment Systems, Inc.",2,2,1,1,50
ACCT0001528,Oshkosh Corporation,2,2,1,1,20
ACCT0001531,"Patterson Companies, Inc.",2,2,3,1,66.66
ACCT0001533,"Pentair, Inc.",3,2,3,1,100
ACCT0001534,Perrigo Company PLC,4,2,1,1,<Null>
ACCT0001539,Plexus Corp.,4,2,1,1,50
ACCT0001540,"Polaris Industries, Inc.",2,2,3,1,22.22
ACCT0001551,"Securian Financial Group, Inc.",3,2,3,1,66.66
ACCT0001567,Trinity Health Corporation,2,2,3,1,76.47
ACCT0001573,University of Michigan,3,2,2,1,57.14
ACCT0001577,Wausau Paper Corp,3,2,2,1,<Null>
ACCT0001584,CoBank ACB,4,2,4,1,33.33
ACCT0001596,City & County of Denver,3,2,2,1,87.5
ACCT0001603,Agrium Inc,3,2,1,1,62.5
ACCT0001615,British Columbia Lottery Corp,4,2,2,1,66.66
ACCT0001623,Tervita Corporation (formerly CCS Corporation),3,2,1,1,100
ACCT0001624,CHC Helicopter Corporation,2,1,2,1,25
ACCT0001630,Enbridge Inc.,2,2,1,1,100
ACCT0001631,EnCana Corp,1,2,1,1,100
ACCT0001632,Enerplus Resources Fund,3,2,1,1,0
ACCT0001633,Ensign Energy Services Inc.,2,2,1,1,0
ACCT0001635,"Expedia, Inc.",3,2,1,1,71.42
ACCT0001647,Husky Oil Operations Ltd,3,2,1,1,40
ACCT0001650,JELD-WEN Inc,3,2,3,1,50
ACCT0001661,Nexen Inc.,3,2,2,1,100
ACCT0001662,"Nike, Inc.",3,2,1,2,50
ACCT0001671,PCL Construction Group Inc,<Null>,2,2,1,33.33
ACCT0001675,"Plum Creek Timber Company, Inc.",3,2,3,1,33.33
ACCT0001678,Precision Drilling Corporation,3,2,1,1,80
ACCT0001681,Recreational Equipment Inc,4,2,3,2,100
ACCT0001692,Suncor Energy Inc,2,2,1,1,100
ACCT0001694,Symetra Financial Corp,2,2,1,1,100
ACCT0001696,Repsol Oil & Gas Canada Inc,2,2,1,1,50
ACCT0001700,TransAlta Corporation,2,2,1,1,100
ACCT0001704,University of Washington Regents,2,2,1,1,50
ACCT0001708,WestJet Airlines Ltd.,4,2,1,1,66.66
ACCT0001721,California Public Employees' Retirement System,2,2,3,1,66.66
ACCT0001722,Dignity Health,1,2,1,1,57.14
ACCT0001731,"Gilead Sciences, Inc.",2,2,2,2,100
ACCT0001737,Lam Research Corp,2,2,2,1,80
ACCT0001738,Levi Strauss & Co.,3,2,2,1,100
ACCT0001754,"Ross Stores, Inc.",2,2,2,1,20
ACCT0001755,Safeway Inc,2,2,1,1,91.66
ACCT0001766,University Of California Berkeley,4,2,3,1,100
ACCT0001772,"Williams-Sonoma, Inc.",4,2,2,1,66.66
ACCT0001775,"Red Robin International, Inc.",4,2,4,1,0
ACCT0001779,St Mungos,4,2,2,1,100
ACCT0001789,"Barnes & Noble, Inc.",3,2,3,1,100
ACCT0001792,Brown Brothers Harriman & Co.,2,2,1,1,75
ACCT0001793,Compassion International Inc,<Null>,2,1,1,16.66
ACCT0001835,Federal Home Loan Bank Office of Finance,4,2,1,1,50
ACCT0001836,National Bank of Belgium,4,2,1,<Null>,0
ACCT0001837,State of Idaho,4,2,1,<Null>,0
ACCT0001839,Princeton University,1,2,1,1,75
ACCT0001840,Providence College,3,2,2,1,100
ACCT0001841,Yale University,3,2,1,1,100
ACCT0001845,Mercury Insurance Services LLC,4,2,2,1,100
ACCT0001846,Veda Advantage Ltd,4,2,2,1,100
ACCT0001847,"Schuff International, Inc.",2,2,1,1,100
ACCT0001852,Brigham Young University,4,2,1,1,100
ACCT0001855,Interserve Plc,2,2,3,<Null>,100
ACCT0001875,Lions Gate Entertainment Inc.,3,2,2,1,100
ACCT0001908,"Netflix, Inc.",4,2,2,1,<Null>
ACCT0001923,"Ventura Foods, LLC",2,2,1,1,100
ACCT0001931,"Coherent, Inc.",4,2,2,1,50
ACCT0001955,"Varian Medical Systems, Inc.",4,2,2,1,80
ACCT0001957,Hoag Memorial Hospital Presbyterian,4,2,2,1,100
ACCT0001966,Cubic Corporation (CTS- AUS),2,2,2,<Null>,80
ACCT0001975,VCA Inc.,2,2,1,1,50
ACCT0001981,Zenith Education Group Inc,3,2,1,1,100
ACCT0002017,Scientific Games Corporation,2,2,2,1,100
ACCT0002020,"Orbitz Worldwide, Inc.",4,2,4,1,33.33
ACCT0002025,"Navigant Consulting, Inc.",3,2,1,1,<Null>
ACCT0002028,McDermott Will & Emery LLP,3,2,2,1,100
ACCT0002037,Zebra Technologies Corp,4,2,1,2,100
ACCT0002044,LKQ Corporation,2,2,2,1,40
ACCT0002049,University of Chicago Medical Center,3,2,1,1,100
ACCT0002052,Stericycle Inc,3,2,1,1,66.66
ACCT0002065,"Compass Minerals International, Inc.",2,2,3,<Null>,75
ACCT0002066,"Waddell & Reed Financial, Inc.",4,2,2,<Null>,0
ACCT0002079,TTI Inc,3,2,1,1,80
ACCT0002096,Corizon Health,2,2,2,1,<Null>
ACCT0002102,Panera Bread Company,2,2,1,1,66.66
ACCT0002104,Ssm Health Care St Louis,2,2,3,1,77.77
ACCT0002141,Denbury Resources Inc,3,2,1,1,100
ACCT0002164,"Argonaut Group, Inc.",4,2,2,<Null>,75
ACCT0002166,Crown Castle International Corp,2,2,1,1,100
ACCT0002183,Lower Colorado River Authority,4,2,2,1,33.33
ACCT0002189,Parker Drilling Management Services Ltd,1,2,1,1,100
ACCT0002192,Conn Appliances Inc,2,2,1,1,50
ACCT0002195,"Lufkin Industries, Inc.",3,1,3,1,<Null>
ACCT0002209,"Bristow Group, Inc.",3,2,1,1,100
ACCT0002230,"Key Energy Services, Inc.",4,2,2,1,100
ACCT0002237,"Blackbaud, Inc.",3,2,2,1,85.71
ACCT0002241,Austin Energy,2,2,2,1,78.57
ACCT0002245,Baylor College Of Medicine,4,2,2,1,100
ACCT0002250,Contran Corp,1,2,3,1,66.66
ACCT0002261,"Cinemark, Inc.",<Null>,2,3,1,<Null>
ACCT0002283,Rowan Companies Inc,4,2,1,2,100
ACCT0002290,Pier 1 Services Company,1,2,3,1,87.5
ACCT0002291,Pioneer Natural Resources Co,4,2,2,1,75
ACCT0002308,Alliance Data Systems Inc ADS,1,2,2,1,50
ACCT0002313,Quanex Building Products Corporation,1,2,1,1,100
ACCT0002317,Noble Drilling Services Inc,2,2,3,1,<Null>
ACCT0002328,Rush Enterprises Inc,2,2,2,1,33.33
ACCT0002329,Sally Holdings LLC,4,2,2,1,100
ACCT0002330,CHRISTUS Health,4,2,3,2,80
ACCT0002332,Rent-A-Center,2,2,3,1,66.66
ACCT0002340,Sabre Holdings Corporate,2,2,3,1,50
ACCT0002342,Noble Energy Inc,1,2,1,1,100
ACCT0002351,Cameron Intl Corp,4,2,3,1,80
ACCT0002354,Michaels Stores Inc,3,2,2,1,66.66
ACCT0002355,Transocean Inc.,3,2,2,1,100
ACCT0002357,McDermott International Inc,1,2,1,1,100
ACCT0002373,Atmos Energy Corporation,2,2,2,2,100
ACCT0002376,National Oilwell Varco,3,2,3,1,50
ACCT0002377,iHeartMedia Management Services Inc,4,2,3,1,20
ACCT0002381,Apache Corporation,3,2,1,1,100
ACCT0002384,Southwest Airlines Co.,2,2,2,1,80
ACCT0002385,CenterPoint Energy Inc,2,2,1,1,0
ACCT0002387,Kellogg Brown & Root LLC,1,2,2,1,100
ACCT0002390,Anadarko Petroleum Corporation,3,2,2,1,66.66
ACCT0002404,Kimberly-Clark Corp,4,2,1,1,100
ACCT0002410,"American Airlines, Inc.",3,2,2,1,20
ACCT0002414,Marathon Oil Corporation,3,2,2,1,66.66
ACCT0002431,Sunovion Pharmaceuticals Inc,3,2,2,1,70
ACCT0002437,Bain & Company Inc,3,2,2,1,0
ACCT0002453,W.R. Berkley Corporation,3,2,1,1,100
ACCT0002463,Cenveo Corp,2,2,1,1,33.33
ACCT0002468,"Watts Water Technologies, Inc.",4,2,2,1,100
ACCT0002469,PerkinElmer Inc,2,2,1,1,70
ACCT0002491,Massachusetts Institute of Technology,2,2,1,1,85.71
ACCT0002492,Terex Corporation,3,2,1,1,50
ACCT0002499,Praxair Inc,2,2,1,1,100
ACCT0002516,"AEGIS Insurance Services, Inc.",3,2,6,1,66.66
ACCT0002533,"American Capital, Ltd.",3,2,2,1,71.42
ACCT0002558,Morgan Lewis,3,2,1,<Null>,0
ACCT0002564,Boston Medical Center Health Plan Inc,2,2,2,1,100
ACCT0002577,"CDM Smith, Inc.",<Null>,2,1,1,100
ACCT0002581,Cape Cod Healthcare,2,2,1,1,50
ACCT0002583,Cardone Industries Inc,2,2,2,1,100
ACCT0002584,Carnegie Mellon University,2,2,1,1,100
ACCT0002592,Celgene Corporation,4,2,1,1,66.66
ACCT0002606,Ciena Corporation,3,2,2,1,100
ACCT0002629,Cooper Health Systems,2,2,1,1,0
ACCT0002646,"DundeeWealth, Inc.",4,2,1,1,<Null>
ACCT0002649,Educational Testing Service,2,2,1,1,100
ACCT0002651,Endo Pharmaceuticals Inc,4,2,1,1,100
ACCT0002665,First Quality Enterprises Inc,1,2,1,1,50
ACCT0002678,The George Washington University / Columbian School,2,2,2,1,100
ACCT0002681,Gildan Activewear Inc.,4,2,2,1,0
ACCT0002683,Golder Associates Corporation,4,2,1,1,50
ACCT0002693,Hajoca Corporation,2,2,3,1,100
ACCT0002695,Hanger Inc.,3,2,2,1,50
ACCT0002717,IDEXX Laboratories Inc.,2,2,1,1,100
ACCT0002750,Kinross Gold Corporation,3,2,4,1,33.33
ACCT0002766,Laurentian Bank of Canada,3,2,2,1,100
ACCT0002818,National Geographic Society,2,2,2,1,100
ACCT0002829,Northeastern University,4,2,1,1,66.66
ACCT0002843,Parametric Technology Corp,1,2,1,1,83.33
ACCT0002847,Penn State Milton S Hershey Medical Center,1,2,1,1,100
ACCT0002884,ShawCor Ltd,2,2,3,1,<Null>
ACCT0002887,Shiloh Industries Inc,2,2,4,1,50
ACCT0002932,Thomas Jefferson University,2,2,1,1,66.66
ACCT0002940,UIL Holdings Corporation,4,2,1,1,75
ACCT0002957,University of Ottawa,4,2,1,1,100
ACCT0002993,Albemarle Corp,1,2,2,1,100
ACCT0003009,CarMax Inc,2,2,1,1,100
ACCT0003010,Carolinas HealthCare System,2,2,1,1,50
ACCT0003015,CommScope Inc,2,2,1,1,100
ACCT0003016,Community Health Systems Inc,1,2,1,1,88.88
ACCT0003020,Delek US Holdings Inc,3,2,2,1,42.85
ACCT0003022,Dollar General Corp,3,2,2,1,<Null>
ACCT0003031,Federal Home Loan Mortgage,2,2,1,1,100
ACCT0003037,Genworth Financial Inc,2,2,1,2,100
