AccountNumber,AccountName,CompleteCustomerChurn
ACCT0001425,Wheaton Franciscan Services Inc.,0
ACCT0001432,Alliant Energy Corporate Services Inc,0
ACCT0001433,"Alliant Techsystems, Inc.",0
ACCT0001436,American Axle & Manufacturing Inc,0
ACCT0001439,American Family Insurance Co,0
ACCT0001440,"Ameriprise Financial, Inc.",0
ACCT0001448,Bemis Company Inc,0
ACCT0001452,Brady Worldwide Inc,0
ACCT0001453,Briggs & Stratton Corporation,0
ACCT0001456,Ceridian Corp,0
ACCT0001467,Delphi Corporation,0
ACCT0001469,Deluxe Corp,0
ACCT0001471,Domino's Pizza Inc,0
ACCT0001472,Donaldson Company Inc,0
ACCT0001475,DURA Automotive Systems LLC,0
ACCT0001476,Fairview Health Services,0
ACCT0001483,Foremost Farms USA Cooperative,0
ACCT0001494,Henry Ford Health System,0
ACCT0001495,Herman Miller Inc.,0
ACCT0001506,Kohl's Corporation,0
ACCT0001507,"Land O'Lakes, Inc.",0
ACCT0001509,M.A. Mortenson Company,0
ACCT0001511,Manitowoc Company Inc (Grove),0
ACCT0001513,Masco Corporation,0
ACCT0001514,"Medtronic, Inc.",0
ACCT0001522,"MoneyGram Payment Systems, Inc.",0
ACCT0001528,Oshkosh Corporation,0
ACCT0001531,"Patterson Companies, Inc.",0
ACCT0001533,"Pentair, Inc.",0
ACCT0001534,Perrigo Company PLC,0
ACCT0001539,Plexus Corp.,0
ACCT0001540,"Polaris Industries, Inc.",0
ACCT0001551,"Securian Financial Group, Inc.",0
ACCT0001567,Trinity Health Corporation,0
ACCT0001573,University of Michigan,0
ACCT0001577,Wausau Paper Corp,0
ACCT0001584,CoBank ACB,0
ACCT0001596,City & County of Denver,0
ACCT0001603,Agrium Inc,0
ACCT0001615,British Columbia Lottery Corp,0
ACCT0001623,Tervita Corporation (formerly CCS Corporation),0
ACCT0001624,CHC Helicopter Corporation,0
ACCT0001630,Enbridge Inc.,0
ACCT0001631,EnCana Corp,0
ACCT0001632,Enerplus Resources Fund,0
ACCT0001633,Ensign Energy Services Inc.,0
ACCT0001635,"Expedia, Inc.",0
ACCT0001647,Husky Oil Operations Ltd,0
ACCT0001650,JELD-WEN Inc,0
ACCT0001661,Nexen Inc.,0
ACCT0001662,"Nike, Inc.",0
ACCT0001671,PCL Construction Group Inc,0
ACCT0001675,"Plum Creek Timber Company, Inc.",0
ACCT0001678,Precision Drilling Corporation,0
ACCT0001681,Recreational Equipment Inc,0
ACCT0001692,Suncor Energy Inc,0
ACCT0001694,Symetra Financial Corp,0
ACCT0001696,Repsol Oil & Gas Canada Inc,0
ACCT0001700,TransAlta Corporation,0
ACCT0001704,University of Washington Regents,0
ACCT0001708,WestJet Airlines Ltd.,0
ACCT0001721,California Public Employees' Retirement System,0
ACCT0001722,Dignity Health,0
ACCT0001731,"Gilead Sciences, Inc.",0
ACCT0001737,Lam Research Corp,0
ACCT0001738,Levi Strauss & Co.,0
ACCT0001754,"Ross Stores, Inc.",0
ACCT0001755,Safeway Inc,0
ACCT0001766,University Of California Berkeley,0
ACCT0001772,"Williams-Sonoma, Inc.",0
ACCT0001775,"Red Robin International, Inc.",0
ACCT0001779,St Mungos,0
ACCT0001789,"Barnes & Noble, Inc.",0
ACCT0001792,Brown Brothers Harriman & Co.,0
ACCT0001793,Compassion International Inc,0
ACCT0001835,Federal Home Loan Bank Office of Finance,0
ACCT0001836,National Bank of Belgium,0
ACCT0001837,State of Idaho,1
ACCT0001839,Princeton University,0
ACCT0001840,Providence College,0
ACCT0001841,Yale University,0
ACCT0001845,Mercury Insurance Services LLC,0
ACCT0001846,Veda Advantage Ltd,0
ACCT0001847,"Schuff International, Inc.",0
ACCT0001852,Brigham Young University,0
ACCT0001855,Interserve Plc,1
ACCT0001875,Lions Gate Entertainment Inc.,0
ACCT0001908,"Netflix, Inc.",0
ACCT0001923,"Ventura Foods, LLC",0
ACCT0001931,"Coherent, Inc.",0
ACCT0001955,"Varian Medical Systems, Inc.",0
ACCT0001957,Hoag Memorial Hospital Presbyterian,0
ACCT0001966,Cubic Corporation (CTS- AUS),1
ACCT0001975,VCA Inc.,0
ACCT0001981,Zenith Education Group Inc,0
ACCT0002017,Scientific Games Corporation,0
ACCT0002020,"Orbitz Worldwide, Inc.",1
ACCT0002025,"Navigant Consulting, Inc.",0
ACCT0002028,McDermott Will & Emery LLP,0
ACCT0002037,Zebra Technologies Corp,0
ACCT0002044,LKQ Corporation,0
ACCT0002049,University of Chicago Medical Center,0
ACCT0002052,Stericycle Inc,0
ACCT0002065,"Compass Minerals International, Inc.",0
ACCT0002066,"Waddell & Reed Financial, Inc.",1
ACCT0002079,TTI Inc,0
ACCT0002096,Corizon Health,0
ACCT0002102,Panera Bread Company,0
ACCT0002104,Ssm Health Care St Louis,0
ACCT0002141,Denbury Resources Inc,0
ACCT0002164,"Argonaut Group, Inc.",1
ACCT0002166,Crown Castle International Corp,0
ACCT0002183,Lower Colorado River Authority,0
ACCT0002189,Parker Drilling Management Services Ltd,0
ACCT0002192,Conn Appliances Inc,0
ACCT0002195,"Lufkin Industries, Inc.",0
ACCT0002209,"Bristow Group, Inc.",0
ACCT0002230,"Key Energy Services, Inc.",0
ACCT0002237,"Blackbaud, Inc.",0
ACCT0002241,Austin Energy,0
ACCT0002245,Baylor College Of Medicine,0
ACCT0002250,Contran Corp,0
ACCT0002261,"Cinemark, Inc.",0
ACCT0002283,Rowan Companies Inc,0
ACCT0002290,Pier 1 Services Company,0
ACCT0002291,Pioneer Natural Resources Co,0
ACCT0002308,Alliance Data Systems Inc ADS,0
ACCT0002313,Quanex Building Products Corporation,0
ACCT0002317,Noble Drilling Services Inc,0
ACCT0002328,Rush Enterprises Inc,0
ACCT0002329,Sally Holdings LLC,0
ACCT0002330,CHRISTUS Health,0
ACCT0002332,Rent-A-Center,0
ACCT0002340,Sabre Holdings Corporate,0
ACCT0002342,Noble Energy Inc,0
ACCT0002351,Cameron Intl Corp,0
ACCT0002354,Michaels Stores Inc,0
ACCT0002355,Transocean Inc.,0
ACCT0002357,McDermott International Inc,0
ACCT0002373,Atmos Energy Corporation,0
ACCT0002376,National Oilwell Varco,0
ACCT0002377,iHeartMedia Management Services Inc,0
ACCT0002381,Apache Corporation,0
ACCT0002384,Southwest Airlines Co.,0
ACCT0002385,CenterPoint Energy Inc,0
ACCT0002387,Kellogg Brown & Root LLC,0
ACCT0002390,Anadarko Petroleum Corporation,0
ACCT0002404,Kimberly-Clark Corp,0
ACCT0002410,"American Airlines, Inc.",0
ACCT0002414,Marathon Oil Corporation,0
ACCT0002431,Sunovion Pharmaceuticals Inc,0
ACCT0002437,Bain & Company Inc,0
ACCT0002453,W.R. Berkley Corporation,0
ACCT0002463,Cenveo Corp,0
ACCT0002468,"Watts Water Technologies, Inc.",0
ACCT0002469,PerkinElmer Inc,0
ACCT0002491,Massachusetts Institute of Technology,0
ACCT0002492,Terex Corporation,0
ACCT0002499,Praxair Inc,0
ACCT0002516,"AEGIS Insurance Services, Inc.",0
ACCT0002533,"American Capital, Ltd.",0
ACCT0002558,Morgan Lewis,1
ACCT0002564,Boston Medical Center Health Plan Inc,0
ACCT0002577,"CDM Smith, Inc.",0
ACCT0002581,Cape Cod Healthcare,0
ACCT0002583,Cardone Industries Inc,0
ACCT0002584,Carnegie Mellon University,0
ACCT0002592,Celgene Corporation,0
ACCT0002606,Ciena Corporation,0
ACCT0002629,Cooper Health Systems,0
ACCT0002646,"DundeeWealth, Inc.",0
ACCT0002649,Educational Testing Service,0
ACCT0002651,Endo Pharmaceuticals Inc,0
ACCT0002665,First Quality Enterprises Inc,0
ACCT0002678,The George Washington University / Columbian School,0
ACCT0002681,Gildan Activewear Inc.,0
ACCT0002683,Golder Associates Corporation,0
ACCT0002693,Hajoca Corporation,0
ACCT0002695,Hanger Inc.,0
ACCT0002717,IDEXX Laboratories Inc.,0
ACCT0002750,Kinross Gold Corporation,0
ACCT0002766,Laurentian Bank of Canada,0
ACCT0002818,National Geographic Society,0
ACCT0002829,Northeastern University,0
ACCT0002843,Parametric Technology Corp,0
ACCT0002847,Penn State Milton S Hershey Medical Center,0
ACCT0002884,ShawCor Ltd,0
ACCT0002887,Shiloh Industries Inc,0
ACCT0002932,Thomas Jefferson University,0
ACCT0002940,UIL Holdings Corporation,0
ACCT0002957,University of Ottawa,0
ACCT0002993,Albemarle Corp,0
ACCT0003009,CarMax Inc,0
ACCT0003010,Carolinas HealthCare System,0
ACCT0003015,CommScope Inc,0
ACCT0003016,Community Health Systems Inc,0
ACCT0003020,Delek US Holdings Inc,0
ACCT0003022,Dollar General Corp,0
ACCT0003031,Federal Home Loan Mortgage,0
ACCT0003037,Genworth Financial Inc,0
ACCT0003048,Ingram Book Group,1
ACCT0003049,Inova Health System,0
ACCT0003058,Lifepoint Corporate Services General Partnership,0
ACCT0003069,WestRock Co,0
ACCT0003093,Regal Entertainment Group,0
ACCT0003100,SAS Institute Inc,0
ACCT0003102,Sentara Healthcare Inc,0
ACCT0003110,State Of Tennessee,0
ACCT0003122,Tractor Supply Company,0
ACCT0003128,Wake Forest University Baptist Medical Center (WFUBMC),0
ACCT0003162,"Brookwood Baptist Health 2, LLC",0
ACCT0003193,Nationwide Children's Hospital,0
ACCT0003198,City Of Virginia Beach,0
ACCT0003222,Denny's Corporation,0
ACCT0003234,Emory University,0
ACCT0003236,"EnPro Industries, Inc.",0
ACCT0003243,"Feld Entertainment, Inc.",1
ACCT0003258,Franklin Electric Co Inc,0
ACCT0003291,ITT Educational Services Inc,0
ACCT0003315,LORD Corporation,0
ACCT0003320,MasTec Inc,0
ACCT0003339,Myers Industries Inc,0
ACCT0003342,The National Collegiate Athletic Association (NCAA),0
ACCT0003350,Nemours Foundation,0
ACCT0003353,Nordson Corporation,0
ACCT0003355,Northside Hospital Inc,0
ACCT0003377,Vidant Pitt County Memorial Hospital Inc,0
ACCT0003394,Rex Hospital Inc,1
ACCT0003413,Serta-Simmons Bedding Company,0
ACCT0003438,"Tempur-Pedic International, Inc.",0
ACCT0003439,Texas Roadhouse Inc.,0
ACCT0003473,University Hospitals,0
ACCT0003475,University Of Cincinnati,0
ACCT0003498,Activision Publishing Inc,0
ACCT0003499,Adobe Systems Inc,0
ACCT0003500,"Advanced Micro Devices, Inc.",0
ACCT0003505,"Allergan, Inc.",0
ACCT0003509,"AMN Healthcare Services, Inc.",0
ACCT0003511,Applied Materials Inc,0
ACCT0003514,Atmel Corp,0
ACCT0003519,Boyd Gaming Corporation,0
ACCT0003522,CBRE Inc,0
ACCT0003523,Cedars-Sinai Medical Center,0
ACCT0003533,DaVita Inc.,0
ACCT0003536,E&J Gallo Winery,0
ACCT0003549,Google Inc.,0
ACCT0003554,Hawaiian Electric Company Inc.,0
ACCT0003555,"Health Net, Inc.",0
ACCT0003563,Intuit Inc,0
ACCT0003566,Jack in the Box,0
ACCT0003567,Jacobs Engineering Group Inc,0
ACCT0003571,KLA-Tencor Corporation,0
ACCT0003573,Las Vegas Sands Corp,0
ACCT0003580,"Mattel, Inc.",0
ACCT0003583,MemorialCare Health System,0
ACCT0003587,Molina Healthcare Inc,0
ACCT0003590,NetApp Inc.,0
ACCT0003594,OXY Inc.,0
ACCT0003602,Public Storage,0
ACCT0003606,Reliance Steel & Aluminum Co,0
ACCT0003607,SanDisk Corporation,0
ACCT0003609,Scripps Health,0
ACCT0003615,Spansion Inc.,1
ACCT0003617,Stanford Health Care,0
ACCT0003621,Suffolk Construction Co Inc,0
ACCT0003627,Teledyne Technologies,0
ACCT0003629,The Irvine Company Inc.,0
ACCT0003637,USC - Marshall School of Business,0
ACCT0003641,"VeriSign, Inc.",0
ACCT0003648,"Xilinx, Inc.",0
ACCT0003649,Young's Market Co LLC,0
ACCT0003653,ARC Resources Ltd,0
ACCT0003661,Oxford Properties Group Inc,0
ACCT0003666,Graham Group Ltd.,0
ACCT0003679,Trimac Transportation,0
ACCT0003682,University of Alberta,0
ACCT0003693,RGF Staffing USA Inc,0
ACCT0003702,Northern Arizona Healthcare Corp,0
ACCT0003717,Interfor Corporation,0
ACCT0003718,Ledcor Group Of Companies,0
ACCT0003735,First Republic Bank,0
ACCT0003749,Pillsbury Winthrop Shaw Pittman LLP,0
ACCT0003752,"Redwood Trust, Inc.",1
ACCT0003753,"Restoration Hardware, Inc.",0
ACCT0003775,"DCP Midstream Partners, LP",0
ACCT0003776,Denver International Airport,0
ACCT0003779,IHS Inc,0
ACCT0003781,MarkWest Hydrocarbon Inc,0
ACCT0003791,"UDR, Inc.",0
ACCT0003798,FBL Financial Group Inc,0
ACCT0003852,"G&K Services, Inc.",0
ACCT0003875,TCF Financial Corp,0
ACCT0003892,HDR Inc,0
ACCT0003897,"City of Albuquerque, New Mexico",0
ACCT0003926,"Associated Food Stores, Inc.",0
ACCT0003934,"Overstock.com, Inc.",0
ACCT0003943,"Getty Images, Inc.",0
ACCT0003956,URM Stores Inc,0
ACCT0003977,"Kwik Trip, Inc.",0
ACCT0003996,Ingram Micro Inc.,0
ACCT0004007,Remy International Inc,0
ACCT0004014,University of Notre Dame,0
ACCT0004016,Wabash National Corporation,0
ACCT0004018,Zimmer Biomet,0
ACCT0004023,Humana Inc,0
ACCT0004027,Omnicare Inc,0
ACCT0004029,PharMerica Corporation,0
ACCT0004034,University of Kentucky Lexington,0
ACCT0004036,Abercrombie & Fitch Co,0
ACCT0004040,"American Electric Power Company, Inc.",0
ACCT0004043,"Applied Industrial Technologies, Inc.",0
ACCT0004045,Battelle Memorial Institute,0
ACCT0004046,Big Lots Inc,0
ACCT0004047,"Bob Evans Farms, Inc.",0
ACCT0004048,"Cardinal Health, Inc.",0
ACCT0004049,Vitas Healthcare,0
ACCT0004050,Chiquita Brands,0
ACCT0004064,FirstEnergy Corp,0
ACCT0004066,The Huntington National Bank,0
ACCT0004067,Invacare Corporation,0
ACCT0004080,NCR Corporation,0
ACCT0004083,Owens Corning,0
ACCT0004084,"Owens-Illinois General, Inc.",0
ACCT0004094,E W Scripps,0
ACCT0004109,Tufts University,0
ACCT0004125,Raymond James Financial Inc,0
ACCT0004129,"ScanSource, Inc.",0
ACCT0004149,Infinity Insurance Company,0
ACCT0004159,Protective Life Corporation,0
ACCT0004187,"JM Family Enterprises, Inc.",0
ACCT0004193,Equifax Inc,0
ACCT0004196,Ebsco Industries Inc,0
ACCT0004200,"Chico's FAS, Inc.",0
ACCT0004231,Spectrum Brands Inc,0
ACCT0004236,Dycom Industries Inc,0
ACCT0004240,Carnival Corporation & plc US,0
ACCT0004249,Lennar Corporation,0
ACCT0004250,AGCO Corporation,0
ACCT0004251,Synovus Financial Corp.,0
ACCT0004253,Exide Technologies,0
ACCT0004265,Genuine Parts Company,0
ACCT0004266,"Health Management Associates, Inc.",1
ACCT0004278,"Jabil Circuit, Inc.",0
ACCT0004282,The Home Depot U.S.A. Inc.,0
ACCT0004284,ipsos MORI,0
ACCT0004286,"Air Products & Chemicals, Inc.",0
ACCT0004294,"Armstrong World Industries, Inc.",0
ACCT0004300,Carpenter Technology Corporation,0
ACCT0004304,"Charming Shoppes, Inc.",1
ACCT0004305,Childrens Hospital Of Philadelphia,0
ACCT0004306,Christiana Care Health Services Inc,0
ACCT0004307,Clark Construction Group LLC,0
ACCT0004308,Comcast Corporation,1
ACCT0004315,Day & Zimmermann Group Inc,0
ACCT0004321,FMC Corporation,0
ACCT0004330,Harsco Corp,0
ACCT0004333,Host Hotels & Resorts LP,0
ACCT0004337,Kennametal Inc.,0
ACCT0004338,Keystone Foods LLC,0
ACCT0004341,"Legg Mason, Inc.",0
ACCT0004354,"PNC Bank, NA",0
ACCT0004358,Rite Aid Corp,0
ACCT0004362,SEI Funds,0
ACCT0004363,Select Medical Holdings Corporation,0
ACCT0004370,"T. Rowe Price Group, Inc",0
ACCT0004375,Toll Brothers,0
ACCT0004379,"AmeriGas, LLP",0
ACCT0004382,University Of Pennsylvania,0
ACCT0004391,W.L. Gore & Associates Inc,0
ACCT0004393,Wabtec Corp,0
ACCT0004395,Weis Markets Inc,0
ACCT0004396,WESCO International Inc,0
ACCT0004400,Totaljobs Group Ltd (formerly totaljobs.com),0
ACCT0004401,Yorkshire And Humber Grid For Learning,0
ACCT0004409,Rexam PLC,0
ACCT0004412,"University of California, Santa Cruz",0
ACCT0004416,"Alvarez & Marsal Holdings, LLC",0
ACCT0004428,American Express Company,0
ACCT0004452,Cablevision Systems Corporation,0
ACCT0004453,Campbell Soup Co,0
ACCT0004457,"Children's Place Retail Stores, Inc.",0
ACCT0004458,Church & Dwight Co Inc,0
ACCT0004459,New York City Human Resources Administration (NYC HRA),0
ACCT0004461,"Coach, Inc.",0
ACCT0004464,Columbia University,0
ACCT0004469,Corning Incorporated,0
ACCT0004471,Covanta Holding Corporation,0
ACCT0004475,"Delaware North Companies, Inc.",0
ACCT0004482,Eastman Kodak Company,0
ACCT0004487,Foot Locker Corporate Services Inc,0
ACCT0004503,"Henry Schein, Inc.",0
ACCT0004514,IAC/InterActiveCorp (ask.com),0
ACCT0004523,ITT Corporation,0
ACCT0004525,Jarden Corporation,0
